request_id,start_time,retrieval_finished_at,generation_finished_at,retrieval_duration,generation_duration,total_processing_time,sentiment,is_toxic,node_number,stage_embeddings,stage_faiss_search,stage_fetch_documents,stage_rerank,stage_generate,stage_sentiment,stage_safety_filter,node_latency,node_throughput_rps
req_1764887530_0,1764887530.5019739,1764887649.135403,,118.63342905044556,,118.63342905044556,,,1,5.252026319503784,109.86481785774231,0.018886804580688477,3.3353090286254883,,,,118.63342905044556,0.008429327281560562
req_1764887966_0,1764887966.630398,1764887976.1160784,1764887993.8974564,9.485680341720581,17.781378030776978,27.26705837249756,very negative,false,0,2.655712127685547,1.5244112014770508,0.26371216773986816,4.873143672943115,12.62271761894226,2.2827510833740234,2.556954860687256,27.26705837249756,0.036674289772622944
req_1764887976_1,1764887976.64423,1764887980.0051007,1764888032.3196661,3.360870838165283,52.31456542015076,55.67543625831604,very negative,false,0,0.08464813232421875,1.296830415725708,0.07013177871704102,1.8212158679962158,37.266717195510864,0.46047163009643555,0.46361637115478516,55.67543625831604,0.017961242285742012
req_1764887986_2,1764887986.670819,1764887989.7553868,1764888032.3196661,3.0845677852630615,42.564279317855835,45.6488471031189,very negative,false,0,0.9097933769226074,1.3565127849578857,0.024926185607910156,0.7060415744781494,37.266717195510864,0.46047163009643555,0.46361637115478516,45.6488471031189,0.021906358286355853
req_1764887996_3,1764887996.714297,1764888000.364068,1764888069.4103053,3.649770975112915,69.0462372303009,72.69600820541382,very negative,false,0,0.1712942123413086,1.2940409183502197,0.027293682098388672,2.0699377059936523,35.96694374084473,0.4593775272369385,0.43900609016418457,72.69600820541382,0.013755913490797807
req_1764888006_4,1764888006.7444491,1764888010.9734766,1764888069.4103053,4.229027509689331,58.43682861328125,62.66585612297058,very negative,false,0,0.5816798210144043,1.3060040473937988,0.026474952697753906,2.229078769683838,35.96694374084473,0.4593775272369385,0.43900609016418457,62.66585612297058,0.015957653208115086
req_1764888016_5,1764888016.7910578,1764888020.690698,1764888079.9200408,3.8996400833129883,59.22934293746948,63.12898302078247,very negative,false,0,0.1240696907043457,1.2842566967010498,0.02507781982421875,2.374204397201538,10.020249128341675,0.18271565437316895,0.18024992942810059,63.12898302078247,0.015840584659359926
req_1764888327_0,1764888327.49009,1764888333.2182713,1764888345.9150205,5.7281813621521,12.696749210357666,18.424930572509766,very negative,false,0,0.5272204875946045,1.441178798675537,0.0247499942779541,3.643890857696533,12.250499486923218,0.1827712059020996,0.19028377532958984,18.424930572509766,0.05427428863650715
req_1764888337_1,1764888337.5930219,1764888341.637382,1764888358.3596718,4.044360160827637,16.72228980064392,20.766649961471558,very negative,false,0,1.1229078769683838,1.3703174591064453,0.025860309600830078,1.441378116607666,11.44459080696106,0.1784210205078125,0.31507277488708496,20.766649961471558,0.04815413183422958
req_1764888347_2,1764888347.5679228,1764888350.9402082,1764888371.8249452,3.3722853660583496,20.884737014770508,24.257022380828857,very negative,false,0,0.06430411338806152,1.3520746231079102,0.024924039840698242,1.811868667602539,12.408100843429565,0.36627888679504395,0.18575286865234375,24.257022380828857,0.04122517530388782
